et,sk,position,score,rel_score,ratio_score,index,freqs,correctness,note
õnnelik,zamilovaný,6,0.663629438728595,0.1923514347381612,0.7752853589366661,2381,251656.0,no,meaning
madalale,nízky,8,0.6107059857469518,0.1629577430814032,0.7893687696485548,17153,26.0,yes,not_basic_form
vangi,vrahov,2,0.7137092151206881,0.0376923679953964,0.949837252353016,5051,0.0,no,meaning
õnnelik,najšťastnejší,4,0.6743036336634507,0.1816772398033055,0.7877554914661754,2381,251656.0,yes,2nd_grade
enese,pokora,2,0.663351799120339,0.0171052151234385,0.9748621665066554,2840,0.0,no,meaning
paiknema,nachádzať,0,0.7642070033646139,0.0,1.0,39885,116486.0,no,meaning
organism,zažívací,9,0.7550754563617876,0.1291068839253739,0.8539816075907566,6776,187605.0,no,meaning
ujumisriided,župany,5,0.7488021838797918,0.0192774404094817,0.974901768254405,132856,0.0,no,meaning
sisemine,emocionálny,9,0.640840659540811,0.1802117738215852,0.7805112481262895,7566,148597.0,no,meaning
olemasolu,neexistenciu,2,0.6429594069866187,0.0360601374405423,0.9468938151537836,1788,195567.0,no,antonymum
ripsmed,kučery,2,0.825729219175078,0.0529286287366921,0.9397619575555116,37263,0.0,no,meaning
jälgima,dohliadať,5,0.7219484361587865,0.0948087321223714,0.883920538681168,6357,463215.0,no,meaning
küll,naozaj,7,0.6896877775762221,0.0243470303650964,0.9659021799857448,81,2924749.0,no,meaning
kiire,rýchly,0,0.8520692213061852,0.0,1.0,954,532068.0,yes,1
lastevanemad,vychovávatelia,2,0.7374338617118052,0.0469243281252762,0.940174873248888,86554,0.0,no,meaning
hindamine,hodnotenie,2,0.780289814918337,0.0641894777397895,0.923989281563384,6199,229765.0,yes,1
kanal,kanály,2,0.7235067903394194,0.1471008656207195,0.8310365586453623,10609,195056.0,yes,not_basic_form
võistlus,slalom,6,0.7234240325732242,0.0856691328409654,0.8941170973838225,3683,524195.0,no,meaning
vms,Prípadne,3,0.7179028630939294,0.0178483174967802,0.9757413675062668,1552,230297.0,no,shortcut
suhkur,sójová,8,0.8182482255547792,0.0835336306862439,0.9073682508600864,7490,157996.0,no,meaning
näpp,prstom,3,0.6795150335868119,0.0898979541477548,0.8831603370610531,50733,115253.0,yes,not_basic_form
vangist,popravu,8,0.6252769365097575,0.0977453070848886,0.8648100968527209,68059,0.0,no,meaning
Kalad,Váhy,4,0.6330300563188715,0.1009954282161651,0.8624088259276993,39667,4.0,no,meaning
lugu,pesnička,1,0.6723959013230849,0.0580275093956107,0.9205563395914228,502,1104562.0,yes,1
kontoritarbed,kufríky,7,0.6498572595221634,0.051091276265466,0.9271112304870476,300027,0.0,no,meaning
olud,poveternostné,1,0.7070625303713133,0.0214376701146413,0.9705728699863896,17371,0.0,no,meaning
sõbralik,zdvorilý,9,0.7339272293713016,0.1361582784861043,0.8435116120697201,4672,132673.0,no,meaning
demokraatia,demokratickom,9,0.7771822060830158,0.1130582876757397,0.8730025330589183,3374,110824.0,no,pos_tag
küll,ozaj,0,0.7140348079413186,0.0,1.0,81,2924749.0,no,meaning
linn,župa,9,0.6985102001368115,0.2010141121909772,0.7765328747248721,1069,1549647.0,no,meaning
näpp,uško,2,0.7025206961375077,0.066892291597059,0.9130606154777626,50733,115253.0,no,meaning
linn,mesto,0,0.8995243123277887,0.0,1.0,1069,1549647.0,yes,1
dressid,nohavice,1,0.8181514866645903,0.0184420330934166,0.9779558021214996,76903,0.0,no,meaning
lõplik,konečná,5,0.6816770454140642,0.1392326551768752,0.8303922403686456,6906,122888.0,yes,not_basic_form
tegelema,zaoberať,0,0.817881805465922,0.0,1.0,2658,817278.0,yes,1
dressid,trenírky,4,0.8080170179805123,0.0285765017774946,0.9658418322607129,76903,0.0,no,meaning
põhimõte,definíciu,6,0.6808375183147903,0.140218635548356,0.8292216252340182,5337,347800.0,no,meaning
ujumisriided,oblečenie,4,0.7511309387982088,0.0169486854910647,0.9779336868794718,132856,0.0,no,meaning
õhtu,večera,1,0.7790433612143691,0.0214403007480019,0.9732158171780276,2689,832578.0,yes,not_basic_form
vuntsid,fúzy,1,0.7570499115825895,0.0173988510666248,0.9775338900315272,60033,0.0,yes,1
paiknema,umiestniť,1,0.6929726850903055,0.0712343182743083,0.9067866193836468,39885,116486.0,yes,1
selts,spolok,0,0.7701220681612876,0.0,1.0,13880,185095.0,yes,1
organism,tráviaca,2,0.7838274159971179,0.1003549242900436,0.886499741379758,6776,187605.0,no,meaning
vahendusel,zasielané,6,0.5862988422343884,0.149835309884918,0.796456516175011,2371,0.0,no,meaning
sülle,vystrašene,7,0.687826016836316,0.0915129988627556,0.8825761356491719,8490,5.0,no,meaning
hommik,ranná,2,0.7393967208852985,0.0464002491026568,0.9409513514624928,8406,659630.0,no,pos_tag
jutumärgid,úvodzovky,0,0.8085356392318713,0.0,1.0,121976,0.0,yes,1
raadio,rádio,0,0.8574113348904568,0.0,1.0,5077,148117.0,yes,1
tüüp,pes,3,0.566516486149219,0.1782954309210304,0.7606168391849001,4986,374774.0,no,meaning
lugu,ságu,6,0.6151714698750663,0.1152519408436293,0.8422121482521653,502,1104562.0,no,meaning
põlema,rozsvietiť,6,0.7045881364302506,0.0548592326993305,0.92776427316852,4615,187965.0,no,meaning
selts,združenie,1,0.7473983298482252,0.0227237383130624,0.970493329236342,13880,185095.0,yes,near_equivalent
organism,imunitný,7,0.7580669961902533,0.1261153440969082,0.8573650045352083,6776,187605.0,no,meaning
vangis,samotke,2,0.708508410494368,0.1007944733644757,0.8754551906649871,16294,5.0,no,meaning
vuntsid,kučeravé,4,0.7126658142775353,0.061782948371679,0.920223323541336,60033,0.0,no,meaning
jutumärgid,zátvorky,6,0.7077452680956784,0.1007903711361929,0.8753420798717714,121976,0.0,no,meaning
jutumärgid,kurzívou,4,0.7085295377861227,0.1000061014457486,0.8763120676526308,121976,0.0,no,meaning
hetk,znenazdajky,9,0.6844406790632451,0.1645052073118433,0.8062241540338175,2329,1585458.0,no,meaning
raadio,rádiom,2,0.7469100531260195,0.1105012817644373,0.871122205564783,5077,148117.0,yes,not_basic_form
vms,alebo,1,0.7231003853608435,0.0126507952298661,0.9828056066186543,1552,230297.0,no,shortcut
samasugune,zvláštny,6,0.7348688615913626,0.0792793327581831,0.902622970475882,4134,232692.0,no,meaning
lastevanemad,Učitelia,7,0.7155054061962431,0.0688527836408383,0.9122176774170744,86554,0.0,no,meaning
olud,klíma,7,0.579868000341291,0.1486322001446636,0.795975073108399,17371,0.0,no,meaning
võimalik,potrebné,4,0.6517765086775628,0.1578178447776207,0.8050655317640416,135,2337813.0,no,meaning
hetk,chvíľku,6,0.7099624867220684,0.1389833996530201,0.8362870921650084,2329,1585458.0,yes,not_basic_form
ahi,radiátor,8,0.7625018310339395,0.0872728589012856,0.8972988252828075,13669,169140.0,no,meaning
märkmed,záznamy,8,0.6633801412946155,0.1378262993832212,0.8279765458867038,46834,0.0,no,meaning
vangist,väzenia,0,0.7230222435946461,0.0,1.0,68059,0.0,yes,not_basic_form
lastevanemad,Učiteľky,5,0.7190350339783442,0.0653231558587372,0.9167176977239117,86554,0.0,no,meaning
organism,Organizmus,1,0.8225257095454344,0.0616566307417272,0.930267063780416,6776,187605.0,yes,1
linn,metropola,3,0.7236372854772551,0.1758870268505336,0.8044666225914748,1069,1549647.0,no,meaning
põhi,podkladový,5,0.6165995433659228,0.0896344198409302,0.8730811253625922,8120,317683.0,no,pos_tag
lõplik,finálny,2,0.7443816736452025,0.0765280269457369,0.9067765591140566,6906,122888.0,yes,near_equivalent
sisemine,hlbší,6,0.6593889570252087,0.1616634763371875,0.8031021287213791,7566,148597.0,no,meaning
laupäev,Pondelok,9,0.7701721773034851,0.1305707577694358,0.8550410414722095,14506,339416.0,no,meaning
kilo,50kg,8,0.7485947573857848,0.0925106520972555,0.8900130101955778,3095,106652.0,no,number
püksid,slipy,9,0.8321194849622485,0.0645595184630255,0.9280015276186784,7469,0.0,no,meaning
neli,osem,2,0.8860228279424212,0.0106876040909855,0.9880813206703194,605,863991.0,no,meaning
jälgima,monitorovať,2,0.7526787499816393,0.0640784182995185,0.9215453248676472,6357,463215.0,yes,1
järgmine,ďalší,5,0.6647087942146439,0.1043760861609881,0.86428534895913,1080,1661707.0,yes,1
kuivõrd,nespochybniteľne,8,0.6719849735933443,0.0616849047066061,0.9159228059770675,3346,101438.0,no,meaning
õhtu,večerný,7,0.6998269073235048,0.1006567546388662,0.8742550792453302,2689,832578.0,no,pos_tag
miski,proste,7,0.5799544598610896,0.0788862746483757,0.8802650314159615,1625,3791215.0,no,meaning
kiire,Rýchly,4,0.7416151262428146,0.1104540950633706,0.8703695752628533,954,532068.0,yes,1
suhkur,cukor,0,0.9017818562410232,0.0,1.0,7490,157996.0,yes,1
mahtuma,vtesnať,3,0.6534993289041167,0.1141308364260581,0.8513205426509419,27540,213662.0,yes,near_equivalent
ettevõte,podnik,1,0.7866398156862544,0.0631852148725924,0.9256491482357944,1543,1428160.0,yes,1
süles,postieľke,2,0.7505743286263273,0.0317235244609994,0.9594482787651748,10366,0.0,no,meaning
esindus,sekretariát,1,0.6668147213162936,0.0168679463710473,0.975327813372678,11812,104355.0,no,meaning
jutumärgid,slovné,5,0.7084037020975257,0.1001319371343456,0.8761564335871781,121976,0.0,no,meaning
põhimõte,princípu,5,0.6900627060343674,0.1309934478287789,0.8404573825889465,5337,347800.0,yes,not_basic_form
enese,vedomej,8,0.6388412981279935,0.041615716115784,0.9388415208534024,2840,0.0,no,meaning
kontoritarbed,notebooky,2,0.6922309741451155,0.008717561642514,0.9875631930199862,300027,0.0,no,meaning
laul,melódia,7,0.7702588398711223,0.1109806179429431,0.8740630404609514,4021,392297.0,no,meaning
ohver,násilník,3,0.7547443762000883,0.0571469346937707,0.9296125800005738,10861,186708.0,no,meaning
põhimõte,princípy,9,0.6591523530769537,0.1619038007861926,0.8028103193375752,5337,347800.0,yes,not_basic_form
samasugune,hocijaký,8,0.7315635532472092,0.0825846411023364,0.8985631342358789,4134,232692.0,no,meaning
juur,koreň,0,0.7812490534151613,0.0,1.0,29104,128780.0,yes,1
ahi,horák,7,0.7686338470570687,0.0811408428781564,0.9045148745435788,13669,169140.0,no,meaning
vahendusel,internetovej,2,0.6125462549883653,0.1235878971309411,0.8321122627239403,2371,0.0,no,meaning
